,sigma_pref_speed,Run,Avg Speed
0,0.0,0,84.94
1,0.0,1,82.66
2,0.0,2,84.0
3,0.0,3,82.48
4,0.0,4,86.16
5,0.05,5,87.80127949731572
6,0.05,6,82.62800115209674
7,0.05,7,89.38530551899332
8,0.05,8,82.73219066570769
9,0.05,9,84.20948203182753
10,0.1,10,82.73972741740715
11,0.1,11,83.6355667235335
12,0.1,12,86.5966497615967
13,0.1,13,81.17227497417738
14,0.1,14,84.96779256846774
15,0.15,15,83.20254754522627
16,0.15,16,84.33194998250573
17,0.15,17,85.65665419308267
18,0.15,18,83.78782462192528
19,0.15,19,81.61447795999409
20,0.2,20,83.09970319207747
21,0.2,21,88.31626089079893
22,0.2,22,84.29046848374499
23,0.2,23,82.34311886073363
24,0.2,24,87.21674093330408
25,0.25,25,84.40167631370109
26,0.25,26,84.40634972168782
27,0.25,27,78.87852092414111
28,0.25,28,81.09906817271404
29,0.25,29,81.67654192996285
